სათაური,ავტორი,ფასი
აბსტრაქტული კომპოზიცია,კირილე ზდანევიჩი,"GEL 7,401 "
უსათაუროდ,ნინა ახობაძე,GEL 375 
"სერიიდან ""კატები"" ჩიკი",ირაკლი გაბაშვილი,"GEL 1,850 "
უსათაუროდ,ნინა ახობაძე,GEL 375 
კომპოზიცია #10,ბაჩი ჯინჭარაძე,"GEL 2,588 "
ქალის პორტრეტი,პეტრე ბლიოტკინი,"GEL 5,550 "
მთებში,გიორგი ახობაძე,"GEL 2,588 "
ლამპიონები,ნოდარ სუხიტაშვილი,"GEL 1,850 "
პეიზაჟი,გიორგი ახობაძე,"GEL 2,588 "
პეიზაჟი,გიორგი ახობაძე,"GEL 2,588 "
პეიზაჟი,გიორგი ახობაძე,"GEL 2,588 "
ყოველდღიური კითხვები,ლევან სამნაშვილი,GEL 673 
ყვავილები,ბესიკ არბოლიშვილი,"GEL 1,488 "
ეროტიკული მოტივი,ავთო ვარაზი,"GEL 5,550 "
ესპანელი,ავთო ვარაზი,"GEL 7,401 "
ქალიშვილის ტორსი,ავთო ვარაზი,"GEL 14,749 "
"სერიიდან ""კატები"" ცბიერი კატა",ირაკლი გაბაშვილი,"GEL 1,113 "
პეიზაჟი,ალი ასლანიშვილი,"GEL 1,850 "
უსათაუროდ,დალი მეტრეველი,"GEL 1,488 "
იისფერი,ცირა ვახვახიშვილი,"GEL 1,113 "
ნიღაბი,თემურ ნინუა,"GEL 2,588 "
"სერიიდან ""უჯრედები""",კოტე ჯინჭარაძე,"GEL 2,225 "
კონსტრუქციული კომპოზიცია,კოტე ჯინჭარაძე,GEL 932 
შიში,ცირა ვახვახიშვილი,"GEL 1,113 "
უსათაუროდ,ნინა ახობაძე,GEL 194 
კონსტრუქციული კომპოზიცია,კოტე ჯინჭარაძე,GEL 932 
პეიზაჟი,გიორგი ახობაძე,"GEL 2,588 "
კონსტრუქციული კომპოზიცია,კოტე ჯინჭარაძე,GEL 932 
კომპოზიცია #9,ბაჩი ჯინჭარაძე,"GEL 3,700 "
უსათაუროდ,ნინა ახობაძე,GEL 375 
კონსტრუქციული კომპოზიცია,კოტე ჯინჭარაძე,GEL 932 
ინტერიერი,რევაზ მირზაშვილი,"GEL 1,113 "
უსათაუროდ,ირინა შტენბერგი,"GEL 3,700 "
პეიზაჟი,კორნელი სანაძე,"GEL 3,700 "
